image_path,mask_path
Processed_Dataset/segmentation/images\ISIC_0002206.jpg,Processed_Dataset/segmentation/masks\ISIC_0002206_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012395.jpg,Processed_Dataset/segmentation/masks\ISIC_0012395_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009923.jpg,Processed_Dataset/segmentation/masks\ISIC_0009923_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011218.jpg,Processed_Dataset/segmentation/masks\ISIC_0011218_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009991.jpg,Processed_Dataset/segmentation/masks\ISIC_0009991_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012086.jpg,Processed_Dataset/segmentation/masks\ISIC_0012086_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010350.jpg,Processed_Dataset/segmentation/masks\ISIC_0010350_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000544.jpg,Processed_Dataset/segmentation/masks\ISIC_0000544_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0007322.jpg,Processed_Dataset/segmentation/masks\ISIC_0007322_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010370.jpg,Processed_Dataset/segmentation/masks\ISIC_0010370_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0005620.jpg,Processed_Dataset/segmentation/masks\ISIC_0005620_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010237.jpg,Processed_Dataset/segmentation/masks\ISIC_0010237_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006795.jpg,Processed_Dataset/segmentation/masks\ISIC_0006795_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009951.jpg,Processed_Dataset/segmentation/masks\ISIC_0009951_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000376.jpg,Processed_Dataset/segmentation/masks\ISIC_0000376_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010318.jpg,Processed_Dataset/segmentation/masks\ISIC_0010318_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010554.jpg,Processed_Dataset/segmentation/masks\ISIC_0010554_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012201.jpg,Processed_Dataset/segmentation/masks\ISIC_0012201_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010856.jpg,Processed_Dataset/segmentation/masks\ISIC_0010856_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006193.jpg,Processed_Dataset/segmentation/masks\ISIC_0006193_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000043.jpg,Processed_Dataset/segmentation/masks\ISIC_0000043_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000034.jpg,Processed_Dataset/segmentation/masks\ISIC_0000034_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000271.jpg,Processed_Dataset/segmentation/masks\ISIC_0000271_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010465.jpg,Processed_Dataset/segmentation/masks\ISIC_0010465_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010368.jpg,Processed_Dataset/segmentation/masks\ISIC_0010368_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000150.jpg,Processed_Dataset/segmentation/masks\ISIC_0000150_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000360.jpg,Processed_Dataset/segmentation/masks\ISIC_0000360_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011214.jpg,Processed_Dataset/segmentation/masks\ISIC_0011214_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011361.jpg,Processed_Dataset/segmentation/masks\ISIC_0011361_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000521.jpg,Processed_Dataset/segmentation/masks\ISIC_0000521_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011385.jpg,Processed_Dataset/segmentation/masks\ISIC_0011385_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012435.jpg,Processed_Dataset/segmentation/masks\ISIC_0012435_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010002.jpg,Processed_Dataset/segmentation/masks\ISIC_0010002_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000004.jpg,Processed_Dataset/segmentation/masks\ISIC_0000004_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000123.jpg,Processed_Dataset/segmentation/masks\ISIC_0000123_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012259.jpg,Processed_Dataset/segmentation/masks\ISIC_0012259_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012453.jpg,Processed_Dataset/segmentation/masks\ISIC_0012453_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010178.jpg,Processed_Dataset/segmentation/masks\ISIC_0010178_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010590.jpg,Processed_Dataset/segmentation/masks\ISIC_0010590_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010337.jpg,Processed_Dataset/segmentation/masks\ISIC_0010337_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000461.jpg,Processed_Dataset/segmentation/masks\ISIC_0000461_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006815.jpg,Processed_Dataset/segmentation/masks\ISIC_0006815_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011356.jpg,Processed_Dataset/segmentation/masks\ISIC_0011356_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000365.jpg,Processed_Dataset/segmentation/masks\ISIC_0000365_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011150.jpg,Processed_Dataset/segmentation/masks\ISIC_0011150_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000372.jpg,Processed_Dataset/segmentation/masks\ISIC_0000372_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0008992.jpg,Processed_Dataset/segmentation/masks\ISIC_0008992_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012309.jpg,Processed_Dataset/segmentation/masks\ISIC_0012309_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000007.jpg,Processed_Dataset/segmentation/masks\ISIC_0000007_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000110.jpg,Processed_Dataset/segmentation/masks\ISIC_0000110_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000520.jpg,Processed_Dataset/segmentation/masks\ISIC_0000520_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011294.jpg,Processed_Dataset/segmentation/masks\ISIC_0011294_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012469.jpg,Processed_Dataset/segmentation/masks\ISIC_0012469_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011211.jpg,Processed_Dataset/segmentation/masks\ISIC_0011211_segmentation.png
